,Date,daynight_category,temp
0,2010-05-27,day,9.896428571428576
1,2010-05-27,night,9.645000000000001
2,2010-05-28,day,9.24615384615384
3,2010-05-28,night,9.31136363636364
4,2010-05-29,day,8.301923076923076
5,2010-05-29,night,8.611363636363636
6,2010-05-30,day,8.482692307692307
7,2010-05-30,night,8.647727272727268
8,2010-05-31,day,9.851923076923075
9,2010-05-31,night,10.111363636363635
10,2010-06-01,day,9.996153846153845
11,2010-06-01,night,10.150000000000002
12,2010-06-02,day,10.044230769230772
13,2010-06-02,night,10.261363636363638
14,2010-06-03,day,9.359615384615381
15,2010-06-03,night,10.109090909090908
16,2010-06-04,day,9.10384615384616
17,2010-06-04,night,9.68409090909091
18,2010-06-05,day,9.923076923076922
19,2010-06-05,night,10.168181818181814
20,2010-06-06,day,9.930769230769233
21,2010-06-06,night,10.740909090909094
22,2010-06-07,day,10.381999999999998
23,2010-06-07,night,10.4825
24,2010-06-08,day,10.30769230769231
25,2010-06-08,night,10.759090909090913
26,2010-06-09,day,10.659615384615384
27,2010-06-09,night,11.274999999999999
28,2010-06-10,day,9.844230769230768
29,2010-06-10,night,10.572727272727276
30,2010-06-11,day,10.031250000000002
31,2010-06-11,night,10.540909090909091
32,2010-06-25,day,12.138461538461542
33,2010-06-25,night,13.245454545454544
34,2010-06-26,day,12.596153846153856
35,2010-06-26,night,13.359090909090908
36,2010-06-27,day,11.976923076923082
37,2010-06-27,night,13.290909090909087
38,2010-06-28,day,12.317307692307695
39,2010-06-28,night,13.193181818181818
40,2010-06-29,day,12.021153846153851
41,2010-06-29,night,12.35227272727273
42,2010-06-30,day,10.951923076923075
43,2010-06-30,night,11.588636363636361
44,2010-07-01,day,11.08846153846154
45,2010-07-01,night,11.52954545454546
46,2010-07-02,day,10.909615384615384
47,2010-07-02,night,10.938636363636363
48,2010-07-03,day,11.482692307692306
49,2010-07-03,night,11.438636363636364
50,2010-07-04,day,11.003846153846158
51,2010-07-04,night,11.099999999999998
52,2010-07-05,day,11.36538461538462
53,2010-07-05,night,11.243181818181817
54,2010-07-06,day,12.846153846153848
55,2010-07-06,night,12.820454545454544
56,2010-07-07,day,14.784615384615392
57,2010-07-07,night,15.004545454545456
58,2010-07-08,day,15.025000000000002
59,2010-07-08,night,15.597727272727267
60,2010-07-09,day,15.457692307692316
61,2010-07-09,night,15.85454545454546
62,2010-07-10,day,15.244230769230768
63,2010-07-10,night,15.990909090909087
64,2010-07-11,day,14.576923076923075
65,2010-07-11,night,15.70681818181817
66,2010-07-12,day,13.311904761904756
67,2010-07-12,night,14.07727272727272
68,2010-07-13,day,12.303999999999998
69,2010-07-13,night,12.636363636363631
70,2010-07-14,day,13.22884615384616
71,2010-07-14,night,13.427027027027025
72,2010-07-15,day,15.00769230769231
73,2010-07-15,night,14.909090909090905
74,2010-07-16,day,14.086538461538469
75,2010-07-16,night,14.568181818181824
76,2010-07-17,day,14.073076923076922
77,2010-07-17,night,14.17045454545454
78,2010-07-18,day,13.400000000000004
79,2010-07-18,night,13.75454545454545
80,2010-07-19,day,14.090384615384618
81,2010-07-19,night,14.136363636363642
82,2010-07-20,day,13.557692307692301
