,species,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,release_location_name,hatchery_location_name,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown,tag_loss_rate,tag_loss_days,tag_loss_sample_size,species_name,total,prop_untagged_unclipped,age
643,2,2016,2018-05-16,2018-05-31,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,523089,3900,0,,,,coho,526989,0.007400533976990032,1
427,1,2017,2018-06-01,2018-06-11,3F10806  180048 R,3F10806  180048 H,,VO,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,52982,0,851,0,0.0158,,505.0,chinook,53833,0.015808147418869465,0
131,1,2017,2018-06-04,2018-06-04,3F10806  180018 R,3F10806  180018 H,,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,50180,0,712,0,0.013999999999999999,,500.0,chinook,50892,0.01399041106657235,0
299,1,2017,2018-06-04,2018-06-04,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,51796,0,842,0,0.016,,500.0,chinook,52638,0.015996048482085187,0
658,2,2017,2018-06-05,2018-06-08,3F10806  180018 R,3F10806  18     H,,,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,300,0,,,,coho,300,1.0,0
1037,1,2017,2018-06-07,2018-06-07,3F10806  180018 R,3F10806  180028 H,,FR,DUNGENESS R  18.0018,HURD CR HATCHERY,0,49107,0,875,0,0.0175,,514.0,chinook,49982,0.017506302268816776,0
4,2,2018,2019-03-28,2019-03-28,3F10806  180028 R,3F10806  1871038E,,,HURD CR      18.0028,OLYMPIC PENINSULA ACADEMY,0,0,0,110,0,,,,coho,110,1.0,0
350,2,2018,2019-03-30,2019-03-30,3F10806  180028 R,3F10806  1872722E,,,HURD CR      18.0028,HELEN HALLER ES(SEQU,0,0,0,150,0,,,,coho,150,1.0,0
1119,3,2018,2019-05-01,2019-05-10,3F10806  180018 R,3F10806  180018 H,S,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,10159,41,0,,,,steelhead,10200,0.004019607843137255,0
778,2,2017,2019-05-16,2019-05-28,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,808380,1620,0,,,,coho,810000,0.002,1
133,1,2018,2019-06-10,2019-06-10,3F10806  180018 R,3F10806  180018 H,,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,49674,0,1326,0,0.026000000000000002,,500.0,chinook,51000,0.026,0
431,1,2018,2019-06-10,2019-06-17,3F10806  180048 R,3F10806  180048 H,,VO,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,50198,0,202,0,0.004,,500.0,chinook,50400,0.004007936507936508,0
432,1,2018,2019-06-10,2019-06-10,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,46500,0,0,0,,,500.0,chinook,46500,0.0,0
1054,1,2018,2019-06-10,2019-06-10,3F10806  180018 R,3F10806  180018 H,,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,30618,0,182,0,0.0059,,510.0,chinook,30800,0.005909090909090909,0
642,2,2019,2020-03-17,2020-03-17,3F10806  180028 R,3F10806  1871038E,,,HURD CR      18.0028,OLYMPIC PENINSULA ACADEMY,0,0,0,145,0,,,,coho,145,1.0,0
1114,2,2019,2020-03-30,2020-03-30,3F10806  180018 R,3F10806  18     H,,,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,290,0,,,,coho,290,1.0,0
141,6,2019,2020-04-14,2020-04-14,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,13328,272,0,,,,pink,13600,0.02,0
273,3,2019,2020-05-01,2020-05-11,3F10806  180018 R,3F10806  180018 H,S,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,7905,45,0,,,,steelhead,7950,0.005660377358490566,0
555,2,2018,2020-05-16,2020-06-01,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,734047,0,0,,,,coho,734047,0.0,1
1120,2,2018,2020-05-16,2020-06-01,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,50647,0,306,0,0,0.006,,500.0,coho,50953,0.0,1
585,1,2019,2020-06-11,2020-06-11,3F10806  180018 R,3F10806  180018 H,,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,51991,0,209,0,0.004,,505.0,chinook,52200,0.004003831417624521,0
581,1,2019,2020-06-11,2020-06-11,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,50199,0,101,0,0.002,,500.0,chinook,50300,0.0020079522862823064,0
1118,1,2019,2020-06-11,2020-06-11,3F10806  180018 R,3F10806  180018 H,,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,51696,0,104,0,0.002,,505.0,chinook,51800,0.002007722007722008,0
582,1,2019,2020-06-11,2020-06-22,3F10806  180048 R,3F10806  180048 H,,VO,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,51593,0,207,0,0.004,,500.0,chinook,51800,0.003996138996138996,0
