,species,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,release_location_name,hatchery_location_name,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown,tag_loss_rate,tag_loss_days,tag_loss_sample_size,species_name,total,prop_untagged_unclipped,age
577,2,2006,2008-06-01,2008-06-02,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,29014,175,0,,,,coho,29189,0.005995409229504266,1
616,2,2006,2008-06-01,2008-06-02,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9951,60,29,0,0,0.0029,,,coho,10040,0.0,1
964,2,2006,2008-06-01,2008-06-02,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,28823,174,0,,,,coho,28997,0.0060006207538710905,1
478,2,2006,2008-06-01,2008-06-02,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9839,60,92,0,0,0.0093,,,coho,9991,0.0,1
241,2,2006,2008-06-01,2008-06-02,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,436316,2634,0,,,,coho,438950,0.006000683449139993,1
594,3,2007,2008-06-02,2008-06-02,3F10806  180018 R,3F10806  180018 H,S,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,5012,88,0,,,,steelhead,5100,0.017254901960784313,0
668,3,2007,2008-06-02,2008-06-02,3F10806  180018 R,3F10806  180018 H,S,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,5012,88,0,,,,steelhead,5100,0.017254901960784313,0
1086,1,2007,2008-06-25,2008-06-25,3F10806  180048 R,,,,GRAY WOLF R  18.0048,,0,45657,0,3643,0,0.0739,,,chinook,49300,0.07389452332657201,0
12,1,2007,2009-04-03,2009-04-03,3F10806  180018 R,3F10806  180028 H,Y,FR,DUNGENESS R  18.0018,HURD CR HATCHERY,0,49764,0,1736,0,0.0424,,563.0,chinook,51500,0.03370873786407767,1
958,1,2007,2009-04-03,2009-04-11,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,30607,0,1543,0,0.048,,500.0,chinook,32150,0.04799377916018663,1
869,1,2008,2009-05-14,2009-05-16,3F10806  180048 R,3F10806  180048 H,,MX,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,48392,0,583,0,0.0119,,505.0,chinook,48975,0.011904032669729454,0
416,2,2007,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,Y,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,8792,121,337,0,0,0.0364,,302.0,coho,9250,0.0,1
485,2,2007,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,Y,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9917,132,0,0,0,,,497.0,coho,10049,0.0,1
332,2,2007,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,Y,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,433813,5758,0,,,,coho,439571,0.01309913529327458,1
487,2,2007,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,G,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9849,137,481,0,0,0.046,,500.0,coho,10467,0.0,1
997,3,2008,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,S,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,3620,80,0,,,,steelhead,3700,0.021621621621621623,0
596,2,2007,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,G,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,28949,384,0,,,,coho,29333,0.013091057852930146,1
959,2,2007,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,Y,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,28078,373,0,,,,coho,28451,0.013110259744824436,1
489,2,2007,2009-06-01,2009-06-01,3F10806  180018 R,3F10806  180018 H,Y,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9041,124,264,0,0,0.027999999999999997,,500.0,coho,9429,0.0,1
579,1,2008,2009-06-13,2009-06-22,3F10806  180048 R,3F10806  180048 H,,MX,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,48869,0,881,0,0.0177,,508.0,chinook,49750,0.017708542713567837,0
825,1,2008,2010-04-07,2010-04-07,3F10806  180028 R,3F10806  180028 H,Y,FR,HURD CR      18.0028,HURD CR HATCHERY,0,48704,0,915,0,0.0194,,434.0,chinook,49619,0.018440516737540054,1
442,1,2008,2010-04-07,2010-04-10,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,48444,0,1156,0,0.0233,,516.0,chinook,49600,0.023306451612903227,1
102,6,2009,2010-04-20,2010-04-20,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,24300,1689,0,,,,pink,25989,0.06498903382200162,0
761,6,2009,2010-04-20,2010-04-20,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,24544,1706,0,,,,pink,26250,0.0649904761904762,0
