"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"40",2021-02-21 16:50:00,2021-02-21 19:00:00,2.16666666666667,2021-02-21 17:55:00,2021-02-21,2021-02-21,2,0,0,0,0,0,0,16,0
"41",2021-02-25 09:30:00,2021-02-25 16:30:00,7,2021-02-25 13:00:00,2021-02-25,2021-02-25,0,0,0,2,0,0,0,19,0
"42",2021-02-25 16:30:00,2021-02-26 08:30:00,16,2021-02-26 00:30:00,2021-02-25,2021-02-26,6,0,0,7,0,0,0,40,0
"43",2021-02-26 08:30:00,2021-02-26 16:30:00,8,2021-02-26 12:30:00,2021-02-26,2021-02-26,0,0,0,0,0,0,0,28,0
"44",2021-02-26 16:30:00,2021-02-27 08:00:00,15.5,2021-02-27 00:15:00,2021-02-26,2021-02-27,12,0,0,3,0,3,0,67,0
"45",2021-02-27 08:00:00,2021-02-27 17:00:00,9,2021-02-27 12:30:00,2021-02-27,2021-02-27,5,0,0,0,0,1,0,44,0
"46",2021-02-27 17:00:00,2021-02-28 08:00:00,15,2021-02-28 00:30:00,2021-02-27,2021-02-28,14,0,0,12,0,0,0,17,0
"47",2021-02-28 08:00:00,2021-02-28 16:50:00,8.83333333333333,2021-02-28 12:25:00,2021-02-28,2021-02-28,10,0,0,0,0,0,0,25,0
"48",2021-02-28 16:50:00,2021-03-01 09:00:00,16.1666666666667,2021-03-01 00:55:00,2021-02-28,2021-03-01,33,0,0,13,0,0,0,29,0
"49",2021-03-01 09:00:00,2021-03-01 16:50:00,7.83333333333333,2021-03-01 12:55:00,2021-03-01,2021-03-01,11,0,0,1,0,0,0,18,0
"50",2021-03-01 16:50:00,2021-03-02 09:00:00,16.1666666666667,2021-03-02 00:55:00,2021-03-01,2021-03-02,44,0,0,6,0,3,0,23,0
