"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild_num","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"37",2022-02-09 08:30:00,2022-02-09 17:10:00,8.66666666666667,2022-02-09 12:50:00,2022-02-09,2022-02-09,14,1,0,0,0,0,0,0,0,4,0
"38",2022-02-09 17:10:00,2022-02-10 08:15:00,15.0833333333333,2022-02-10 00:42:30,2022-02-09,2022-02-10,161,9,0,0,0,0,2,0,0,12,0
"39",2022-02-10 08:15:00,2022-02-10 17:00:00,8.75,2022-02-10 12:37:30,2022-02-10,2022-02-10,15,0,0,0,0,0,0,0,0,1,0
"40",2022-02-10 17:00:00,2022-02-11 08:30:00,15.5,2022-02-11 00:45:00,2022-02-10,2022-02-11,172,1,0,0,1,0,1,0,0,1,0
"41",2022-02-11 08:30:00,2022-02-11 17:10:00,8.66666666666667,2022-02-11 12:50:00,2022-02-11,2022-02-11,29,0,0,0,0,0,0,0,0,2,0
"42",2022-02-11 17:10:00,2022-02-12 08:00:00,14.8333333333333,2022-02-12 00:35:00,2022-02-11,2022-02-12,179,7,0,0,2,0,0,0,0,16,0
"43",2022-02-12 08:00:00,2022-02-12 16:50:00,8.83333333333333,2022-02-12 12:25:00,2022-02-12,2022-02-12,70,2,0,0,0,0,0,0,0,3,0
"44",2022-02-12 16:50:00,2022-02-13 08:00:00,15.1666666666667,2022-02-13 00:25:00,2022-02-12,2022-02-13,82,3,0,0,0,0,0,0,0,6,0
"45",2022-02-13 08:00:00,2022-02-13 16:50:00,8.83333333333333,2022-02-13 12:25:00,2022-02-13,2022-02-13,38,2,0,0,0,0,0,0,0,5,0
"46",2022-02-13 16:50:00,2022-02-14 08:30:00,15.6666666666667,2022-02-14 00:40:00,2022-02-13,2022-02-14,104,5,0,0,1,0,0,0,0,1,0
