"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"39",2020-02-26 17:00:00,2020-02-27 07:15:00,14.25,2020-02-27 00:07:30,2020-02-26,2020-02-27,100,2,0,0,10,1,0,0,3,0
"40",2020-02-27 12:00:00,2020-02-27 17:30:00,5.5,2020-02-27 14:45:00,2020-02-27,2020-02-27,33,0,0,0,0,0,0,0,0,0
"41",2020-02-27 17:30:00,2020-02-28 07:30:00,14,2020-02-28 00:30:00,2020-02-27,2020-02-28,189,6,0,0,7,3,0,0,1,0
"42",2020-02-28 07:30:00,2020-02-28 16:30:00,9,2020-02-28 12:00:00,2020-02-28,2020-02-28,40,1,0,0,0,1,0,0,1,0
"43",2020-02-28 16:30:00,2020-02-29 08:30:00,16,2020-02-29 00:30:00,2020-02-28,2020-02-29,412,18,0,0,10,0,0,0,2,0
"44",2020-02-29 08:30:00,2020-02-29 17:30:00,9,2020-02-29 13:00:00,2020-02-29,2020-02-29,36,7,0,0,4,0,0,0,0,0
"45",2020-02-29 17:30:00,2020-03-01 08:00:00,14.5,2020-03-01 00:45:00,2020-02-29,2020-03-01,604,204,0,0,14,2,0,0,2,0
"46",2020-03-01 08:00:00,2020-03-01 17:30:00,9.5,2020-03-01 12:45:00,2020-03-01,2020-03-01,76,7,0,0,1,0,0,0,2,0
"47",2020-03-01 17:30:00,2020-03-02 08:00:00,14.5,2020-03-02 00:45:00,2020-03-01,2020-03-02,828,53,0,0,5,0,0,0,5,0
"48",2020-03-02 08:00:00,2020-03-02 17:30:00,9.5,2020-03-02 12:45:00,2020-03-02,2020-03-02,46,2,0,0,0,0,0,0,2,0
"49",2020-03-02 17:30:00,2020-03-03 08:30:00,15,2020-03-03 01:00:00,2020-03-02,2020-03-03,657,44,0,0,7,1,0,0,5,0
"50",2020-03-03 08:30:00,2020-03-03 17:00:00,8.5,2020-03-03 12:45:00,2020-03-03,2020-03-03,96,16,0,0,0,0,0,0,3,0
"51",2020-03-03 17:00:00,2020-03-04 07:30:00,14.5,2020-03-04 00:15:00,2020-03-03,2020-03-04,368,16,0,0,8,0,0,0,9,0
"52",2020-03-04 07:30:00,2020-03-04 17:00:00,9.5,2020-03-04 12:15:00,2020-03-04,2020-03-04,277,11,0,0,0,0,0,0,12,0
"53",2020-03-04 17:00:00,2020-03-05 07:15:00,14.25,2020-03-05 00:07:30,2020-03-04,2020-03-05,246,12,0,0,4,4,0,0,9,0
"54",2020-03-05 07:15:00,2020-03-05 17:00:00,9.75,2020-03-05 12:07:30,2020-03-05,2020-03-05,184,2,0,0,0,1,0,0,11,0
"55",2020-03-05 17:00:00,2020-03-06 07:30:00,14.5,2020-03-06 00:15:00,2020-03-05,2020-03-06,253,30,0,0,1,2,0,0,8,0
"56",2020-03-06 07:30:00,2020-03-06 17:00:00,9.5,2020-03-06 12:15:00,2020-03-06,2020-03-06,177,3,0,0,0,0,0,0,4,0
"57",2020-03-06 17:00:00,2020-03-07 08:00:00,15,2020-03-07 00:30:00,2020-03-06,2020-03-07,448,19,0,0,1,1,0,0,2,0
"58",2020-03-07 08:00:00,2020-03-07 17:30:00,9.5,2020-03-07 12:45:00,2020-03-07,2020-03-07,143,5,0,0,0,0,0,0,1,0
"59",2020-03-07 17:30:00,2020-03-08 08:00:00,13.5,2020-03-08 00:15:00,2020-03-07,2020-03-08,476,26,0,0,7,0,0,0,6,0
"60",2020-03-08 08:00:00,2020-03-08 18:00:00,10,2020-03-08 13:00:00,2020-03-08,2020-03-08,79,4,0,0,0,0,0,0,3,0
"61",2020-03-08 18:00:00,2020-03-09 08:00:00,14,2020-03-09 01:00:00,2020-03-08,2020-03-09,1841,266,0,0,7,0,0,0,13,0
"62",2020-03-09 08:00:00,2020-03-09 18:30:00,10.5,2020-03-09 13:15:00,2020-03-09,2020-03-09,130,1,0,0,0,0,0,0,3,0
"63",2020-03-09 18:30:00,2020-03-10 07:00:00,12.5,2020-03-10 00:45:00,2020-03-09,2020-03-10,1657,214,0,0,5,4,0,0,6,0
"64",2020-03-10 07:00:00,2020-03-10 17:45:00,10.75,2020-03-10 12:22:30,2020-03-10,2020-03-10,226,23,0,0,0,0,0,0,1,0
"65",2020-03-10 17:45:00,2020-03-11 08:30:00,14.75,2020-03-11 01:07:30,2020-03-10,2020-03-11,1195,36,0,0,6,0,0,0,2,0
"66",2020-03-11 08:30:00,2020-03-11 17:30:00,9,2020-03-11 13:00:00,2020-03-11,2020-03-11,109,2,0,0,1,0,0,0,1,0
"67",2020-03-11 17:30:00,2020-03-12 09:15:00,15.75,2020-03-12 01:22:30,2020-03-11,2020-03-12,2567,209,0,0,5,3,0,0,3,0
"68",2020-03-12 09:15:00,2020-03-12 17:45:00,8.5,2020-03-12 13:30:00,2020-03-12,2020-03-12,142,9,0,0,0,1,0,0,0,0
"69",2020-03-12 17:45:00,2020-03-13 09:00:00,15.25,2020-03-13 01:22:30,2020-03-12,2020-03-13,1960,89,0,0,1,2,0,0,0,0
"70",2020-03-13 09:00:00,2020-03-13 17:45:00,8.75,2020-03-13 13:22:30,2020-03-13,2020-03-13,42,6,0,0,0,0,0,0,1,0
"71",2020-03-13 17:45:00,2020-03-14 08:00:00,14.25,2020-03-14 00:52:30,2020-03-13,2020-03-14,1576,114,0,0,2,2,0,0,2,0
"72",2020-03-14 08:00:00,2020-03-14 18:30:00,10.5,2020-03-14 13:15:00,2020-03-14,2020-03-14,76,8,0,0,0,0,0,0,0,0
"73",2020-03-14 18:30:00,2020-03-15 08:00:00,13.5,2020-03-15 01:15:00,2020-03-14,2020-03-15,1596,100,0,0,1,1,0,0,2,0
"74",2020-03-15 08:00:00,2020-03-15 18:30:00,10.5,2020-03-15 13:15:00,2020-03-15,2020-03-15,93,10,0,0,0,0,0,0,2,0
"75",2020-03-15 18:30:00,2020-03-16 08:00:00,13.5,2020-03-16 01:15:00,2020-03-15,2020-03-16,1226,86,0,0,1,1,0,0,3,0
"76",2020-03-16 08:00:00,2020-03-16 18:30:00,10.5,2020-03-16 13:15:00,2020-03-16,2020-03-16,108,6,0,0,0,0,0,0,0,0
"77",2020-03-16 18:30:00,2020-03-17 08:00:00,13.5,2020-03-17 01:15:00,2020-03-16,2020-03-17,1594,98,0,0,0,1,0,0,2,0
"78",2020-03-17 08:00:00,2020-03-17 18:00:00,10,2020-03-17 13:00:00,2020-03-17,2020-03-17,101,16,0,0,0,0,0,0,3,0
"79",2020-03-17 18:00:00,2020-03-18 07:45:00,13.75,2020-03-18 00:52:30,2020-03-17,2020-03-18,1694,126,0,0,1,4,0,0,5,0
"80",2020-03-18 07:45:00,2020-03-18 18:15:00,10.5,2020-03-18 13:00:00,2020-03-18,2020-03-18,43,11,0,0,0,0,0,0,1,0
"81",2020-03-18 18:15:00,2020-03-19 07:15:00,13,2020-03-19 00:45:00,2020-03-18,2020-03-19,657,50,0,0,3,0,0,0,1,0
