,river,species,year,releases,total_released,hatchery
81,Skagit,coho,2013,5,321049,"BAKER LK HATCHERY, MARBLEMOUNT HATCHERY"
82,Skagit,coho,2014,4,343239,"BAKER LK HATCHERY, MARBLEMOUNT HATCHERY"
83,Skagit,coho,2015,4,317874,"BAKER LK HATCHERY, MARBLEMOUNT HATCHERY"
84,Skagit,coho,2016,2,310838,"BAKER LK HATCHERY, MARBLEMOUNT HATCHERY"
85,Skagit,coho,2017,2,329988,"MARBLEMOUNT HATCHERY, BAKER LK HATCHERY"
86,Skagit,coho,2018,2,339606,"MARBLEMOUNT HATCHERY, BAKER LK HATCHERY"
87,Skagit,coho,2019,2,610069,"BAKER LK HATCHERY, MARBLEMOUNT HATCHERY"
88,Skagit,coho,2020,2,604911,"BAKER LK HATCHERY, MARBLEMOUNT HATCHERY"
89,Skagit,coho,2021,2,574958,"MARBLEMOUNT HATCHERY, BAKER LK HATCHERY"
90,Skagit,coho,2022,1,522515,MARBLEMOUNT HATCHERY
