"","StartDate","EndDate","StartTime","EndTime","chinook0_wild_num","chinook0_hatchery_num","chinook1_wild_num","chum0_wild_num","coho0_wild_num","coho1_wild_num","coho1_hatchery_num","steelheadsmolt_wild_num","sockeye0_wild_num","sockeye1_wild_num","pink0_wild_num","start_datetime","end_datetime","In","midpoint"
"29",2015-02-24,2015-02-25,1899-12-30 18:30:00,1899-12-30 07:30:00,56,0,0,4,0,0,0,0,0,0,0,2015-02-24 18:30:00,2015-02-25 07:30:00,13,2015-02-25 01:00:00
"30",2015-02-25,2015-02-25,1899-12-30 07:40:00,1899-12-30 18:30:00,11,0,0,1,0,0,0,0,0,0,1,2015-02-25 07:40:00,2015-02-25 18:30:00,10.8333333333333,2015-02-25 13:05:00
"31",2015-02-25,2015-02-26,1899-12-30 18:40:00,1899-12-30 07:30:00,57,0,0,4,0,0,0,0,1,0,1,2015-02-25 18:40:00,2015-02-26 07:30:00,12.8333333333333,2015-02-26 01:05:00
"32",2015-02-26,2015-02-27,1899-12-30 18:30:00,1899-12-30 07:30:00,70,0,0,7,0,0,0,0,0,0,0,2015-02-26 18:30:00,2015-02-27 07:30:00,13,2015-02-27 01:00:00
"33",2015-02-27,2015-02-28,1899-12-30 18:30:00,1899-12-30 07:30:00,67,0,0,21,0,0,0,0,0,0,0,2015-02-27 18:30:00,2015-02-28 07:30:00,13,2015-02-28 01:00:00
"34",2015-02-28,2015-02-28,1899-12-30 07:45:00,1899-12-30 18:00:00,32,0,0,1,0,0,0,0,0,0,0,2015-02-28 07:45:00,2015-02-28 18:00:00,10.25,2015-02-28 12:52:30
"35",2015-02-28,2015-03-01,1899-12-30 18:15:00,1899-12-30 07:30:00,90,0,0,21,0,0,0,0,0,0,0,2015-02-28 18:15:00,2015-03-01 07:30:00,13.25,2015-03-01 00:52:30
"36",2015-03-01,2015-03-02,1899-12-30 18:00:00,1899-12-30 07:30:00,41,0,0,11,0,0,0,0,0,0,0,2015-03-01 18:00:00,2015-03-02 07:30:00,13.5,2015-03-02 00:45:00
"37",2015-03-02,2015-03-03,1899-12-30 18:30:00,1899-12-30 07:30:00,73,0,0,64,0,0,0,0,0,0,0,2015-03-02 18:30:00,2015-03-03 07:30:00,13,2015-03-03 01:00:00
"38",2015-03-03,2015-03-03,1899-12-30 07:40:00,1899-12-30 18:30:00,20,0,0,4,0,0,0,0,0,0,0,2015-03-03 07:40:00,2015-03-03 18:30:00,10.8333333333333,2015-03-03 13:05:00
"39",2015-03-03,2015-03-04,1899-12-30 18:40:00,1899-12-30 07:30:00,124,0,0,91,0,0,0,0,0,0,0,2015-03-03 18:40:00,2015-03-04 07:30:00,12.8333333333333,2015-03-04 01:05:00
"40",2015-03-04,2015-03-05,1899-12-30 18:30:00,1899-12-30 07:30:00,71,0,0,36,0,1,0,0,0,0,0,2015-03-04 18:30:00,2015-03-05 07:30:00,13,2015-03-05 01:00:00
"41",2015-03-05,2015-03-06,1899-12-30 18:30:00,1899-12-30 07:30:00,72,0,0,45,0,1,0,0,0,0,0,2015-03-05 18:30:00,2015-03-06 07:30:00,13,2015-03-06 01:00:00
"42",2015-03-06,2015-03-06,1899-12-30 07:45:00,1899-12-30 17:45:00,12,0,0,5,0,0,0,0,0,0,0,2015-03-06 07:45:00,2015-03-06 17:45:00,10,2015-03-06 12:45:00
"43",2015-03-06,2015-03-07,1899-12-30 18:00:00,1899-12-30 07:30:00,93,0,0,57,0,0,0,0,0,0,0,2015-03-06 18:00:00,2015-03-07 07:30:00,13.5,2015-03-07 00:45:00
"44",2015-03-07,2015-03-08,1899-12-30 18:30:00,1899-12-30 08:00:00,68,0,1,49,0,0,0,0,0,0,0,2015-03-07 18:30:00,2015-03-08 08:00:00,12.5,2015-03-08 00:45:00
"45",2015-03-08,2015-03-09,1899-12-30 19:30:00,1899-12-30 08:30:00,39,0,0,30,0,0,0,1,1,0,0,2015-03-08 19:30:00,2015-03-09 08:30:00,13,2015-03-09 02:00:00
"46",2015-03-09,2015-03-09,1899-12-30 08:40:00,1899-12-30 19:30:00,46,0,0,15,0,0,0,0,0,0,0,2015-03-09 08:40:00,2015-03-09 19:30:00,10.8333333333333,2015-03-09 14:05:00
"47",2015-03-09,2015-03-10,1899-12-30 19:40:00,1899-12-30 08:00:00,31,0,0,28,0,1,0,1,0,0,0,2015-03-09 19:40:00,2015-03-10 08:00:00,12.3333333333333,2015-03-10 01:50:00
"48",2015-03-10,2015-03-11,1899-12-30 19:30:00,1899-12-30 08:00:00,61,0,0,45,0,0,0,0,2,0,0,2015-03-10 19:30:00,2015-03-11 08:00:00,12.5,2015-03-11 01:45:00
"49",2015-03-11,2015-03-12,1899-12-30 19:30:00,1899-12-30 08:00:00,88,0,0,77,0,0,0,0,3,0,0,2015-03-11 19:30:00,2015-03-12 08:00:00,12.5,2015-03-12 01:45:00
"50",2015-03-12,2015-03-12,1899-12-30 08:15:00,1899-12-30 18:45:00,32,0,0,59,0,0,0,0,0,0,6,2015-03-12 08:15:00,2015-03-12 18:45:00,10.5,2015-03-12 13:30:00
"51",2015-03-12,2015-03-13,1899-12-30 19:00:00,1899-12-30 08:15:00,127,0,0,151,0,1,0,0,6,0,0,2015-03-12 19:00:00,2015-03-13 08:15:00,13.25,2015-03-13 01:37:30
"52",2015-03-13,2015-03-14,1899-12-30 19:30:00,1899-12-30 08:15:00,115,0,0,97,0,0,0,0,5,0,3,2015-03-13 19:30:00,2015-03-14 08:15:00,12.75,2015-03-14 01:52:30
"53",2015-03-14,2015-03-15,1899-12-30 19:30:00,1899-12-30 04:30:00,946,0,1,625,4,0,0,1,2,0,0,2015-03-14 19:30:00,2015-03-15 04:30:00,9,2015-03-15 00:00:00
"54",2015-03-15,2015-03-15,1899-12-30 16:00:00,1899-12-30 19:30:00,189,0,0,76,0,0,0,0,1,0,0,2015-03-15 16:00:00,2015-03-15 19:30:00,3.5,2015-03-15 17:45:00
"55",2015-03-15,2015-03-16,1899-12-30 19:40:00,1899-12-30 04:30:00,684,0,0,311,4,0,0,0,3,0,0,2015-03-15 19:40:00,2015-03-16 04:30:00,8.83333333333333,2015-03-16 00:05:00
"56",2015-03-16,2015-03-17,1899-12-30 19:30:00,1899-12-30 08:00:00,379,0,0,212,5,2,0,1,0,0,0,2015-03-16 19:30:00,2015-03-17 08:00:00,12.5,2015-03-17 01:45:00
"57",2015-03-17,2015-03-18,1899-12-30 19:30:00,1899-12-30 08:00:00,160,0,0,184,2,1,0,1,0,0,0,2015-03-17 19:30:00,2015-03-18 08:00:00,12.5,2015-03-18 01:45:00
"58",2015-03-18,2015-03-18,1899-12-30 13:00:00,1899-12-30 19:00:00,35,0,0,64,0,0,0,0,1,0,0,2015-03-18 13:00:00,2015-03-18 19:00:00,6,2015-03-18 16:00:00
"59",2015-03-18,2015-03-19,1899-12-30 19:15:00,1899-12-30 07:30:00,65,0,0,78,0,2,0,0,1,1,0,2015-03-18 19:15:00,2015-03-19 07:30:00,12.25,2015-03-19 01:22:30
"60",2015-03-19,2015-03-20,1899-12-30 19:30:00,1899-12-30 07:30:00,87,0,0,137,2,1,0,1,0,0,0,2015-03-19 19:30:00,2015-03-20 07:30:00,12,2015-03-20 01:30:00
"61",2015-03-20,2015-03-21,1899-12-30 19:30:00,1899-12-30 08:00:00,122,0,0,530,3,0,0,1,0,0,0,2015-03-20 19:30:00,2015-03-21 08:00:00,12.5,2015-03-21 01:45:00
"62",2015-03-21,2015-03-21,1899-12-30 08:10:00,1899-12-30 19:30:00,15,0,0,460,0,0,0,0,0,0,0,2015-03-21 08:10:00,2015-03-21 19:30:00,11.3333333333333,2015-03-21 13:50:00
"63",2015-03-21,2015-03-22,1899-12-30 19:40:00,1899-12-30 08:00:00,295,0,2,1550,11,1,0,1,1,0,0,2015-03-21 19:40:00,2015-03-22 08:00:00,12.3333333333333,2015-03-22 01:50:00
